user_id,device_age_days,sim_swap_count_3m,avg_monthly_inflow,inflow_volatility,utility_bill_payment_ratio,airtime_topup_freq_pm,avg_airtime_topup_val,default_within_30_days
user_100000,132,0,14906.14,0.318,0.755,17,89.75,0
user_100001,465,0,7707.18,0.74,0.581,13,80.04,0
user_100002,890,0,2678.16,0.734,0.928,21,46.93,0
user_100003,300,0,12614.38,0.629,0.584,17,25.1,0
user_100004,136,0,5341.46,0.066,0.592,9,114.63,0
user_100005,101,1,21505.67,0.684,0.946,15,83.27,0
user_100006,730,0,3401.51,0.542,0.722,30,74.12,0
user_100007,50,0,49596.27,0.443,0.64,32,113.42,0
user_100008,644,0,33394.65,0.343,0.679,24,189.88,0
user_100009,151,0,33054.75,0.512,0.754,24,35.4,0
user_100010,496,0,25401.91,0.242,0.726,6,220.84,0
user_100011,244,0,17060.01,0.482,0.714,24,133.48,0
user_100012,360,3,2823.64,0.538,0.674,13,111.57,0
user_100013,488,0,18289.55,0.557,0.545,34,124.57,0
user_100014,117,0,22611.18,0.366,0.871,13,52.67,0
user_100015,402,0,4103.07,0.102,0.747,31,179.72,0
user_100016,129,0,16347.16,0.364,0.954,29,69.34,0
user_100017,901,0,11776.26,0.726,0.81,18,153.15,0
user_100018,693,0,11592.43,0.453,0.894,5,88.6,0
user_100019,160,0,5337.07,0.079,0.752,28,25.68,0
user_100020,691,0,22173.73,0.33,0.702,15,121.34,0
user_100021,338,0,40878.96,0.512,0.516,12,86.08,0
user_100022,799,0,25253.63,0.26,0.672,31,240.22,0
user_100023,373,0,8907.51,0.191,0.784,19,53.59,0
user_100024,521,0,64194.65,0.483,0.462,16,100.62,0
user_100025,443,0,8792.37,0.506,0.447,38,133.57,0
user_100026,835,0,6006.9,0.394,0.541,39,157.54,0
user_100027,415,2,53670.02,0.119,0.837,11,121.37,0
user_100028,221,0,25396.62,0.604,0.826,39,105.63,0
user_100029,985,0,23484.71,0.617,0.668,9,115.09,0
user_100030,306,0,3208.91,0.343,0.834,7,118.36,0
user_100031,190,0,5198.34,0.057,0.598,23,59.32,0
user_100032,489,0,2280.37,0.528,0.889,21,18.89,0
user_100033,343,0,24485.17,0.784,0.934,18,82.0,0
user_100034,51,1,6891.0,0.415,0.697,29,93.01,0
user_100035,282,0,4127.32,0.566,0.602,16,39.95,0
user_100036,777,0,5011.4,0.446,0.636,40,100.69,0
user_100037,886,0,17372.01,0.228,0.966,30,186.46,0
user_100038,590,0,10512.28,0.305,0.676,14,49.51,0
user_100039,504,0,44554.38,0.77,0.754,26,80.92,0
user_100040,88,1,8833.03,0.496,0.862,26,104.61,0
user_100041,540,0,28925.16,0.191,0.67,26,98.84,0
user_100042,711,0,13860.24,0.087,0.719,15,40.49,0
user_100043,505,0,20329.38,0.09,0.336,20,99.23,0
user_100044,729,2,4770.76,0.425,0.676,37,40.43,0
user_100045,812,2,22733.61,0.129,0.767,12,86.49,0
user_100046,219,0,3343.22,0.674,0.515,12,68.54,0
user_100047,987,0,19622.1,0.307,0.89,7,90.75,0
user_100048,716,0,11396.85,0.338,0.617,19,49.37,0
user_100049,987,1,5891.79,0.308,0.957,25,92.12,0
user_100050,592,0,11820.07,0.451,0.726,20,134.24,0
user_100051,905,0,31035.64,0.799,0.772,19,88.35,0
user_100052,596,1,4521.3,0.722,0.869,29,78.32,0
user_100053,273,0,4788.19,0.224,0.822,17,33.89,0
user_100054,861,0,13453.46,0.723,0.832,39,80.55,0
user_100055,534,0,16722.62,0.487,0.709,4,50.73,0
user_100056,160,0,10176.08,0.598,0.698,7,24.08,0
user_100057,514,0,6646.72,0.44,0.581,25,168.4,0
user_100058,848,0,3043.34,0.546,0.945,28,45.99,0
user_100059,676,0,2766.13,0.344,0.74,27,53.9,0
user_100060,50,0,2625.15,0.262,0.536,19,77.0,0
user_100061,870,0,36732.48,0.428,0.874,33,40.02,0
user_100062,196,2,4112.35,0.407,0.955,19,197.53,0
user_100063,303,0,7245.99,0.347,0.96,17,34.43,0
user_100064,417,0,65915.5,0.642,0.783,23,37.43,0
user_100065,630,0,41357.31,0.588,0.92,8,47.01,0
user_100066,345,0,2657.11,0.265,0.636,31,63.98,0
user_100067,43,3,14019.79,0.198,0.865,34,148.53,0
user_100068,271,0,17056.29,0.054,0.58,5,49.27,0
user_100069,806,0,2834.5,0.785,0.805,21,119.93,0
user_100070,375,1,21536.26,0.314,0.815,6,213.86,0
user_100071,594,0,68181.09,0.509,0.301,18,192.51,0
user_100072,927,0,10415.47,0.611,0.92,18,82.7,0
